         16367159 function calls (16039132 primitive calls) in 18.579 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9255    0.035    0.000    0.118    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/validation.py:692(_pandas_dtype_needs_early_conversion)
      617    0.012    0.000    0.118    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/window/rolling.py:860(_create_data)
    19127    0.051    0.000    0.118    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/base.py:419(__sklearn_tags__)
      617    0.002    0.000    0.117    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/groupby/ops.py:657(<listcomp>)
   111060    0.093    0.000    0.117    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_array_api.py:381(__getattr__)
     3702    0.025    0.000    0.117    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/validation.py:2687(_check_feature_names)
     1234    0.004    0.000    0.115    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/groupby/grouper.py:744(_group_index)
   210182    0.085    0.000    0.115    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/generic.py:37(_check)
     1235    0.010    0.000    0.112    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:674(_with_infer)
     1851    0.007    0.000    0.107    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/base.py:891(_map_values)
    20726    0.048    0.000    0.106    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/base.py:82(shape)
     3702    0.012    0.000    0.106    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/lib/_arraysetops_impl.py:145(unique)
    16659    0.009    0.000    0.106    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_array_api.py:246(<genexpr>)
    57381    0.038    0.000    0.105    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/_config.py:35(get_config)
    32043    0.036    0.000    0.104    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/common.py:1571(validate_all_hashable)
    28611    0.028    0.000    0.102    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:236(set_axis)
    48863    0.092    0.000    0.102    0.000 /usr/lib/python3.10/warnings.py:458(__enter__)
     8638    0.063    0.000    0.102    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/validation.py:1667(<listcomp>)
      620    0.004    0.000    0.099    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexing.py:1719(_getitem_axis)
     1851    0.060    0.000    0.098    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/algorithms.py:1667(map_array)
    31083    0.030    0.000    0.096    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:7688(maybe_extract_name)
     1851    0.005    0.000    0.092    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_encode.py:20(_unique)
    33921    0.039    0.000    0.092    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/_core/numerictypes.py:471(issubdtype)
    11725    0.047    0.000    0.090    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/lib/_function_base_impl.py:5644(append)
     3702    0.059    0.000    0.089    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/lib/_arraysetops_impl.py:339(_unique1d)
    32073    0.038    0.000    0.088    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/common.py:1434(_is_dtype_type)
    89550    0.074    0.000    0.088    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:2004(internal_values)
     1851    0.009    0.000    0.088    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_encode.py:61(_unique_np)
     7805    0.010    0.000    0.087    0.000 {method 'all' of 'numpy.ndarray' objects}
    74290    0.085    0.000    0.085    0.000 {method 'astype' of 'numpy.ndarray' objects}
    10395    0.053    0.000    0.084    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/_core/numeric.py:290(full)
     5350    0.021    0.000    0.084    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/common.py:97(is_bool_indexer)
     1851    0.004    0.000    0.084    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/algorithms.py:262(_get_hashtable_algo)
   111446    0.055    0.000    0.084    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/inference.py:334(is_hashable)
    79027    0.076    0.000    0.083    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/construction.py:481(ensure_wrapped_if_datetimelike)
     1851    0.014    0.000    0.082    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_encode.py:170(_map_to_integer)
    51302    0.063    0.000    0.082    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/blocks.py:2674(get_block_type)
    10489    0.014    0.000    0.082    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/ensemble/_gb.py:1120(__sklearn_tags__)
     1851    0.021    0.000    0.081    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/algorithms.py:1452(safe_sort)
    16848    0.064    0.000    0.080    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:649(_simple_new)
    18705    0.033    0.000    0.079    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/common.py:1198(is_bool_dtype)
    14976    0.028    0.000    0.079    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/blocks.py:274(make_block)
    15609    0.078    0.000    0.078    0.000 {built-in method numpy.array}
     1851    0.006    0.000    0.078    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_unique.py:81(cached_unique)
    10807    0.037    0.000    0.078    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/base.py:836(__iter__)
     7805    0.008    0.000    0.077    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/_core/_methods.py:67(_all)
     7409    0.055    0.000    0.077    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/array_algos/take.py:353(wrapper)
     1234    0.005    0.000    0.076    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/calibration.py:553(__sklearn_tags__)
    19477    0.044    0.000    0.076    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/construction.py:769(_try_cast)
      169    0.005    0.000    0.076    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:6997(sort_values)
    22693    0.026    0.000    0.075    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/_core/_dtype.py:334(_name_includes_bit_suffix)
     7404    0.004    0.000    0.074    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_array_api.py:261(<genexpr>)
    28611    0.028    0.000    0.074    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/base.py:86(_validate_set_axis)
     2527    0.029    0.000    0.074    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:2276(_merge_blocks)
   414007    0.073    0.000    0.073    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_tags.py:340(<genexpr>)
    55399    0.073    0.000    0.073    0.000 {built-in method numpy.empty}
    36290    0.015    0.000    0.073    0.000 /usr/lib/python3.10/abc.py:117(__instancecheck__)
    20573    0.027    0.000    0.072    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/series.py:1471(_set_as_cached)
     3702    0.003    0.000    0.072    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_unique.py:105(<genexpr>)
    50320    0.071    0.000    0.071    0.000 {method 'take' of 'numpy.ndarray' objects}
     7705    0.021    0.000    0.071    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/blocks.py:2703(new_block_2d)
     3702    0.011    0.000    0.070    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:2338(sum)
     1851    0.005    0.000    0.069    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_unique.py:62(_cached_unique)
      617    0.006    0.000    0.069    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:5663(_reindex_with_indexers)
   154098    0.068    0.000    0.068    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/_config/__init__.py:34(using_copy_on_write)
   439921    0.068    0.000    0.068    0.000 {built-in method builtins.vars}
     4049    0.018    0.000    0.067    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/ops/array_ops.py:189(_na_arithmetic_op)
    27994    0.048    0.000    0.066    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/_config/config.py:635(_get_root)
    22212    0.041    0.000    0.066    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_array_api.py:209(_is_numpy_namespace)
     1234    0.010    0.000    0.066    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/multi.py:325(__new__)
     1853    0.001    0.000    0.066    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:6679(_maybe_cast_listlike_indexer)
     3872    0.012    0.000    0.066    0.000 {built-in method builtins.sorted}
    48457    0.065    0.000    0.065    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/_core/getlimits.py:697(__init__)
      617    0.029    0.000    0.065    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:958(fast_xs)
     1851    0.015    0.000    0.064    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/series.py:6459(any)
    48069    0.064    0.000    0.064    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/flags.py:87(allows_duplicate_labels)
     7404    0.020    0.000    0.063    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_array_api.py:271(supported_float_dtypes)
     7357    0.012    0.000    0.063    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:659(_constructor_from_mgr)
    65368    0.050    0.000    0.063    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:180(blknos)
    31886    0.034    0.000    0.063    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/construction.py:696(_sanitize_ndim)
    22391    0.027    0.000    0.062    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:4623(_clear_item_cache)
    48863    0.055    0.000    0.061    0.000 /usr/lib/python3.10/warnings.py:477(__exit__)
    60323    0.021    0.000    0.059    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/base.py:84(<genexpr>)
    36290    0.042    0.000    0.059    0.000 {built-in method _abc._abc_instancecheck}
    41905    0.038    0.000    0.059    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexing.py:2765(check_dict_or_set_indexers)
     6340    0.010    0.000    0.058    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/series.py:664(_constructor_from_mgr)
     1853    0.006    0.000    0.058    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:6394(_should_compare)
     6744    0.006    0.000    0.058    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/missing.py:101(isna)
     3776    0.011    0.000    0.058    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:3052(max)
   341224    0.057    0.000    0.057    0.000 {built-in method builtins.issubclass}
     6787    0.009    0.000    0.057    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:2077(__contains__)
    28797    0.021    0.000    0.056    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/common.py:568(require_length_match)
    33394    0.056    0.000    0.056    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/blocks.py:292(make_block_same_class)
      617    0.002    0.000    0.056    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/groupby/generic.py:1939(__getitem__)
     3702    0.018    0.000    0.055    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/validation.py:2370(_get_feature_names)
      617    0.002    0.000    0.055    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:2107(droplevel)
    62882    0.054    0.000    0.054    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/flags.py:51(__init__)
      617    0.003    0.000    0.054    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/base.py:232(__getitem__)
    48863    0.054    0.000    0.054    0.000 /usr/lib/python3.10/warnings.py:437(__init__)
      617    0.009    0.000    0.053    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/groupby/groupby.py:3747(rolling)
     2471    0.019    0.000    0.052    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/common.py:231(asarray_tuplesafe)
     6744    0.018    0.000    0.052    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/missing.py:184(_isna)
    19127    0.033    0.000    0.052    0.000 <string>:2(__init__)
    10320    0.021    0.000    0.052    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/inference.py:273(is_dict_like)
    14811    0.047    0.000    0.051    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:288(<listcomp>)
    46392    0.051    0.000    0.051    0.000 {method 'remove' of 'list' objects}
    57381    0.025    0.000    0.050    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/_config.py:27(_get_threadlocal_config)
     3702    0.007    0.000    0.050    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/validation.py:2780(_check_n_features)
    67842    0.032    0.000    0.049    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/_core/numerictypes.py:289(issubclass_)
    31674    0.048    0.000    0.048    0.000 {built-in method numpy.arange}
    44452    0.028    0.000    0.048    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:667(_info_axis)
     8354    0.004    0.000    0.048    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:2264(<lambda>)
    31444    0.016    0.000    0.048    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/series.py:707(dtype)
     8214    0.008    0.000    0.047    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/common.py:536(is_string_dtype)
     1851    0.021    0.000    0.047    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/algorithms.py:280(_check_object_for_strings)
    64086    0.025    0.000    0.047    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/common.py:1590(<genexpr>)
     2468    0.002    0.000    0.047    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/dtypes.py:220(__init__)
    19744    0.017    0.000    0.046    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:1047(shape)
     1851    0.008    0.000    0.046    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/series.py:6418(_reduce)
     7404    0.005    0.000    0.046    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_array_api.py:232(<genexpr>)
      617    0.013    0.000    0.046    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:2159(_drop_level_numbers)
     1960    0.020    0.000    0.046    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:842(_engine)
     5553    0.015    0.000    0.045    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_array_api.py:426(reshape)
    29000    0.032    0.000    0.045    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     1959    0.013    0.000    0.045    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:2313(is_unique)
    26857    0.031    0.000    0.044    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/blocks.py:2795(extend_blocks)
    27994    0.030    0.000    0.044    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/_config/config.py:676(_translate_key)
     2468    0.005    0.000    0.044    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/dtypes.py:373(_finalize)
     2469    0.012    0.000    0.044    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/missing.py:466(array_equivalent)
     4177    0.012    0.000    0.044    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/blocks.py:225(_consolidate_key)
    70453    0.043    0.000    0.043    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:1837(__init__)
     9351    0.025    0.000    0.042    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/blocks.py:790(copy)
     7127    0.017    0.000    0.042    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/algorithms.py:1131(take)
    78368    0.029    0.000    0.042    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/common.py:372(apply_if_callable)
     3702    0.008    0.000    0.042    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/tree/_classes.py:1440(__sklearn_tags__)
     9450    0.008    0.000    0.041    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/common.py:1375(_is_dtype)
    47838    0.041    0.000    0.041    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/blocks.py:1253(iget)
      617    0.020    0.000    0.041    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/sorting.py:122(get_group_index)
      617    0.008    0.000    0.041    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/window/rolling.py:692(__init__)
     1853    0.027    0.000    0.040    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:3955(_get_indexer)
    27953    0.040    0.000    0.040    0.000 {method 'copy' of 'numpy.ndarray' objects}
     4049    0.006    0.000    0.039    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/computation/expressions.py:226(evaluate)
    28416    0.035    0.000    0.039    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexing.py:2562(_axes_are_unique)
    44769    0.024    0.000    0.039    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexing.py:2531(<genexpr>)
    24063    0.019    0.000    0.039    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_array_api.py:401(asarray)
     3702    0.015    0.000    0.039    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/validation.py:328(_num_features)
     1234    0.009    0.000    0.038    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/dtypes.py:550(validate_categories)
   144834    0.036    0.000    0.036    0.000 {built-in method builtins.hash}
    26093    0.036    0.000    0.036    0.000 {method 'clear' of 'dict' objects}
    11725    0.014    0.000    0.036    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:1904(ravel)
     2786    0.005    0.000    0.036    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/base.py:378(interleaved_dtype)
    31470    0.025    0.000    0.036    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/base.py:549(find)
    38128    0.031    0.000    0.035    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/construction.py:416(extract_array)
    36481    0.035    0.000    0.035    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/array_algos/take.py:325(_get_take_nd_function)
     1851    0.007    0.000    0.035    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/tree/_classes.py:184(_support_missing_values)
     2842    0.009    0.000    0.034    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:1265(_iset_single)
    16270    0.012    0.000    0.034    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/base.py:332(array)
     4049    0.004    0.000    0.033    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/computation/expressions.py:67(_evaluate_standard)
     3702    0.008    0.000    0.033    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/base.py:612(__sklearn_tags__)
    15344    0.019    0.000    0.033    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/inference.py:195(is_array_like)
     2468    0.006    0.000    0.033    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/array_algos/putmask.py:101(validate_putmask)
     1851    0.008    0.000    0.033    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/algorithms.py:106(_ensure_data)
     5553    0.005    0.000    0.032    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/base.py:1183(__sklearn_tags__)
    31444    0.026    0.000    0.031    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:1993(dtype)
     1851    0.006    0.000    0.031    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:2477(any)
     2468    0.010    0.000    0.031    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:89(_wrapreduction_any_all)
     7805    0.004    0.000    0.031    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/series.py:914(__len__)
     6629    0.010    0.000    0.031    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:773(_view)
      112    0.000    0.000    0.031    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:12716(__iadd__)
      113    0.001    0.000    0.031    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:12678(_inplace_method)
     9872    0.010    0.000    0.030    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/validation.py:318(_use_interchange_protocol)
     2786    0.020    0.000    0.030    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/cast.py:1432(find_common_type)
     2469    0.013    0.000    0.030    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/_core/numeric.py:2475(array_equal)
     1851    0.004    0.000    0.030    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/nanops.py:482(nanany)
     1948    0.022    0.000    0.029    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:2744(inferred_type)
     3935    0.028    0.000    0.028    0.000 {built-in method _operator.eq}
     2637    0.022    0.000    0.028    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/missing.py:261(_isna_array)
    68526    0.028    0.000    0.028    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/common.py:152(cast_scalar_indexer)
     5553    0.008    0.000    0.028    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:211(reshape)
    31886    0.021    0.000    0.028    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/construction.py:735(_sanitize_str_dtypes)
     1851    0.005    0.000    0.027    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/preprocessing/_label.py:166(__sklearn_tags__)
     6621    0.013    0.000    0.027    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/blocks.py:2811(ensure_block_shape)
    15876    0.027    0.000    0.027    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     8214    0.019    0.000    0.027    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/common.py:572(condition)
     3813    0.007    0.000    0.026    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:5170(_get_engine_target)
     7357    0.023    0.000    0.026    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:948(from_blocks)
     1234    0.007    0.000    0.026    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/multi.py:903(_set_levels)
     4432    0.011    0.000    0.026    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/_core/_ufunc_config.py:440(__enter__)
   164739    0.025    0.000    0.025    0.000 {method 'endswith' of 'str' objects}
     5553    0.008    0.000    0.025    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_missing.py:9(is_scalar_nan)
     5553    0.023    0.000    0.025    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/util/_validators.py:271(validate_fillna_kwargs)
     1234    0.003    0.000    0.025    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:3328(prod)
      112    0.000    0.000    0.025    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/arraylike.py:98(__add__)
      113    0.000    0.000    0.025    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/series.py:6133(_arith_method)
      113    0.002    0.000    0.024    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/base.py:1371(_arith_method)
     3702    0.005    0.000    0.024    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/tree/_classes.py:693(__sklearn_tags__)
    13574    0.021    0.000    0.024    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/validation.py:2343(_is_pandas_df)
    17276    0.024    0.000    0.024    0.000 {method 'mro' of 'type' objects}
   167902    0.023    0.000    0.023    0.000 {method 'append' of 'list' objects}
     3705    0.008    0.000    0.023    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/common.py:1081(is_numeric_dtype)
    17903    0.023    0.000    0.023    0.000 {method 'view' of 'numpy.ndarray' objects}
    34606    0.013    0.000    0.023    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/inference.py:300(<genexpr>)
     1234    0.002    0.000    0.023    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:5598(<genexpr>)
    13226    0.017    0.000    0.023    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:586(_get_axis)
    31886    0.018    0.000    0.023    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/construction.py:758(_maybe_repeat)
     4958    0.022    0.000    0.022    0.000 {method 'argsort' of 'numpy.ndarray' objects}
